Material;Material Group;Billing doc. date;Billing doc. date;Requested Del  date;Planned delivery dt;Planned GI date;Actual PGI Date;Business Group;Business Group1;Market Segment;Market Segment1;End Use;End Use1;Commodity Code;Region;Region1;Sales document;Sales doc. type;Plant;Order Priority;Payment Terms;Stocking Strategy;Actual Billed Qty;Bulk Ex Work Price;Bulk Ex Works Value;Net value Price;Net value;Invoice Price;Mtl. Inv. Value (S3);Material Cost per KG;L&O Cost per kg;Total Cost  per kg; Process L&O per Kg;Exchange Rate to USD;Currency;Costing Lot Size;Special Procurement Plant;Overhead Group;IPI %;II %
LZ1\300;LZ1;08/01/2018;08/01/2018;07/24/2018;08/02/2018;08/01/2018;08/01/2018;CA;Performance Coatings;C5;Paints & Coatings;K2;Trnsprt Ctgs;3824.99.89;BR/SP;São Paulo;3229857;ZOR;P105;FIRST DI;N35;STOCK ITEM;720,0 KG;67,5 BRL / KG;48.600,26 BRL;69,59 BRL;50.108,07 BRL;95,66 BRL;68.877,07 BRL;50,36106;6,37411;56,73517;0;0,26905;BRL;1;T163;0;10;14
LZ1\300;LZ1;08/02/2018;08/01/2018;08/05/2018;08/05/2018;08/02/2018;08/02/2018;CA;Performance Coatings;C5;Paints & Coatings;K2;Trnsprt Ctgs;3824.99.89;BR/SP;São Paulo;3223023;ZOR;P105;FIRST DI;N35;STOCK ITEM;540,0 KG;67,4 BRL / KG;36.394,18 BRL;69,49 BRL;37.523,30 BRL;95,52 BRL;51.578,42 BRL;50,36106;6,37411;56,73517;0;0,26905;BRL;1;T163;0;10;14
LZ1\300;LZ1;08/31/2018;08/01/2018;09/03/2018;09/03/2018;08/31/2018;08/31/2018;CA;Performance Coatings;C5;Paints & Coatings;K2;Trnsprt Ctgs;3824.99.89;BR/SP;São Paulo;3236109;ZOR;P105;FIRST DI;N35;STOCK ITEM;360,0 KG;75,2 BRL / KG;27.058,62 BRL;77,49 BRL;27.898,11 BRL;106,52 BRL;38.347,92 BRL;50,36106;6,37411;56,73517;0;0,26905;BRL;1;T163;0;10;14
LZ1\300;LZ1;09/06/2018;09/01/2018;09/05/2018;09/10/2018;09/06/2018;09/06/2018;CA;Performance Coatings;C5;Paints & Coatings;K2;Trnsprt Ctgs;3824.99.89;BR/SP;São Paulo;3258645;ZOR;P105;FIRST DI;N35;STOCK ITEM;360,0 KG;74,8 BRL / KG;26.928,02 BRL;77,12 BRL;27.763,46 BRL;106,01 BRL;38.162,84 BRL;51,15639;7,00744;58,16383;0;0,25262;BRL;1;T163;0;10;14
LZ1\300;LZ1;10/02/2018;10/01/2018;10/03/2018;10/03/2018;10/02/2018;10/02/2018;CA;Performance Coatings;C5;Paints & Coatings;K2;Trnsprt Ctgs;3824.99.89;BR/SP;São Paulo;3262022;ZOR;P105;FIRST DI;N35;STOCK ITEM;720,0 KG;72,4 BRL / KG;52.125,25 BRL;74,64 BRL;53.742,40 BRL;102,60 BRL;73.872,72 BRL;57,74289;7,14433;64,88722;0;0,24463;BRL;1;T163;0;10;14
LZ1\300;LZ1;11/01/2018;11/01/2018;11/05/2018;11/05/2018;11/01/2018;11/01/2018;CA;Performance Coatings;C5;Paints & Coatings;K2;Trnsprt Ctgs;3824.99.89;BR/SP;São Paulo;3291087;ZOR;P105;FIRST DI;N35;STOCK ITEM;720,0 KG;66,8 BRL / KG;48.119,64 BRL;68,91 BRL;49.612,56 BRL;94,72 BRL;68.195,95 BRL;55,138;6,32589;61,46389;0;0,26121;BRL;1;T163;0;10;14
LZ1\300;LZ1;11/30/2018;11/01/2018;11/05/2018;12/03/2018;11/30/2018;11/30/2018;CA;Performance Coatings;C5;Paints & Coatings;K2;Trnsprt Ctgs;3824.99.89;BR/SP;São Paulo;3223026;ZOR;P105;FIRST DI;N35;STOCK ITEM;720,0 KG;69,3 BRL / KG;49.919,85 BRL;71,48 BRL;51.468,58 BRL;98,26 BRL;70.747,20 BRL;55,138;6,32589;61,46389;0;0,26121;BRL;1;T163;0;10;14
LZ1\300;LZ1;02/04/2019;02/01/2019;02/05/2019;02/05/2019;02/04/2019;02/04/2019;CA;Performance Coatings;C5;Paints & Coatings;K2;Trnsprt Ctgs;3824.99.89;BR/SP;São Paulo;3300185;ZOR;P105;FIRST DI;N35;STOCK ITEM;720,0 KG;66,0 BRL / KG;47.494,57 BRL;68,01 BRL;48.968,07 BRL;93,49 BRL;67.310,06 BRL;55,18711;4,51633;59,70344;0;0,26251;BRL;1;T163;0;10;14
LZ1\300;LZ1;04/01/2019;04/01/2019;04/02/2019;04/02/2019;04/01/2019;04/01/2019;CA;Performance Coatings;C5;Paints & Coatings;K2;Trnsprt Ctgs;3824.99.89;BR/SP;São Paulo;3360364;ZOR;P105;GOLD;N35;STOCK ITEM;720,0 KG;70,0 BRL / KG;50.435,33 BRL;72,22 BRL;52.000,09 BRL;99,27 BRL;71.477,78 BRL;51,99172;4,621;56,61272;0;0,26167;BRL;1;T163;0;10;14
LZ1\300;LZ1;05/03/2019;05/01/2019;05/15/2019;05/06/2019;05/03/2019;05/03/2019;CA;Performance Coatings;C5;Paints & Coatings;K2;Trnsprt Ctgs;3824.99.89;BR/SP;São Paulo;3381314;ZOR;P105;FIRST DI;N35;STOCK ITEM;720,0 KG;71,3 BRL / KG;51.319,22 BRL;73,49 BRL;52.911,40 BRL;101,01 BRL;72.730,44 BRL;52,60822;4,67789;57,28611;0;0,25326;BRL;1;T163;0;10;14
LZ1\300;LZ1;06/04/2019;06/01/2019;06/05/2019;06/05/2019;06/04/2019;06/04/2019;CA;Performance Coatings;C5;Paints & Coatings;K2;Trnsprt Ctgs;3824.99.89;BR/SP;São Paulo;3420654;ZOR;P105;FIRST DI;N35;STOCK ITEM;720,0 KG;70,1 BRL / KG;50.482,55 BRL;72,29 BRL;52.048,75 BRL;99,37 BRL;71.544,67 BRL;55,24217;4,65572;59,89789;0;0,24837;BRL;1;T163;0;10;14
LZ1\300;LZ1;06/25/2019;06/01/2019;07/05/2019;06/26/2019;06/25/2019;06/25/2019;CA;Performance Coatings;C5;Paints & Coatings;K2;Trnsprt Ctgs;3824.99.89;BR/SP;São Paulo;3420656;ZOR;P105;FIRST DI;N35;STOCK ITEM;720,0 KG;68,7 BRL / KG;49.486,60 BRL;70,86 BRL;51.021,89 BRL;97,41 BRL;70.133,18 BRL;55,24217;4,65572;59,89789;0;0,24837;BRL;1;T163;0;10;14
LZ1\300;LZ1;07/04/2019;07/01/2019;07/05/2019;07/05/2019;07/04/2019;07/04/2019;CA;Performance Coatings;C5;Paints & Coatings;K2;Trnsprt Ctgs;3824.99.89;BR/SP;São Paulo;3400127;ZOR;P105;FIRST DI;N35;STOCK ITEM;720,0 KG;69,2 BRL / KG;49.798,85 BRL;71,31 BRL;51.343,87 BRL;98,02 BRL;70.575,77 BRL;55,87372;4,42622;60,29994;0;0,25691;BRL;1;T163;0;10;14
LZ1\300;LZ1;08/14/2019;08/01/2019;08/15/2019;08/15/2019;08/14/2019;08/14/2019;CA;Performance Coatings;C5;Paints & Coatings;K2;Trnsprt Ctgs;3824.99.89;BR/SP;São Paulo;3449136;ZOR;P105;FIRST DI;N35;STOCK ITEM;720,0 KG;75,7 BRL / KG;54.538,42 BRL;78,04 BRL;56.190,02 BRL;107,27 BRL;77.237,14 BRL;51,989;4,27589;56,26489;0;0,26362;BRL;1;T163;0;10;14
LZ1\300;LZ1;09/04/2019;09/01/2019;09/05/2019;09/05/2019;09/04/2019;09/04/2019;CA;Performance Coatings;C5;Paints & Coatings;K2;Trnsprt Ctgs;3824.99.89;BR/SP;São Paulo;3451440;ZOR;P105;GOLD;N35;STOCK ITEM;720,0 KG;79,4 BRL / KG;57.173,79 BRL;81,81 BRL;58.905,19 BRL;112,46 BRL;80.969,33 BRL;53,33661;4,61328;57,94989;0;0,24759;BRL;1;T163;0;10;14
