Material;Material Group;Billing doc. date;Day;Month;Year;Quarter;Billing doc. Month/Year;Requested Del  date;Planned delivery dt;Planned GI date;Actual PGI Date;Business Group;Market Segment;Market Segment1;End Use;End Use1;Commodity Code;Region;Sales document;Order Priority;Payment Terms;Stocking Strategy;Actual Billed Qty /KG;Bulk Ex Work Price /KG;Bulk Ex Works Value BRL;Net value Price BRL /KG;Net value BRL;Invoice Price BRL /KG;Mtl. Inv. Value BRL;Material Cost per KG;L&O Cost per kg;Total Cost  per kg;Process L&O per Kg;Exchange Rate to USD;Currency;Costing Lot Size;Special Procurement Plant;IPI %;II %
800001\300;800001;43313;1;8;2018;3;08/01/2018;07/24/2018;08/02/2018;08/01/2018;08/01/2018;CA;100;Paints & Coatings;200;Trnsprt Ctgs;38249989;1000;3229857;FIRST DI;N35;STOCK ITEM;720;67.5;48600.26;69.59;50108.07;95.66;68877.07;50.36106;6.37411;56.73517;0;0.26905;BRL;1;T163;10;14
800001\300;800001;43314;2;8;2018;3;08/01/2018;08/05/2018;08/05/2018;08/02/2018;08/02/2018;CA;100;Paints & Coatings;200;Trnsprt Ctgs;38249989;1000;3223023;FIRST DI;N35;STOCK ITEM;540;67.4;36394.18;69.49;37523.3;95.52;51578.42;50.36106;6.37411;56.73517;0;0.26905;BRL;1;T163;10;14
800001\300;800001;43343;31;8;2018;3;08/01/2018;09/03/2018;09/03/2018;08/31/2018;08/31/2018;CA;100;Paints & Coatings;200;Trnsprt Ctgs;38249989;1000;3236109;FIRST DI;N35;STOCK ITEM;360;75.16;27058.62;77.49;27898.11;106.52;38347.92;50.36106;6.37411;56.73517;0;0.26905;BRL;1;T163;10;14
800001\300;800001;43349;6;9;2018;3;09/01/2018;09/05/2018;09/10/2018;09/06/2018;09/06/2018;CA;100;Paints & Coatings;200;Trnsprt Ctgs;38249989;1000;3258645;FIRST DI;N35;STOCK ITEM;360;74.8;26928.02;77.12;27763.46;106.01;38162.84;51.15639;7.00744;58.16383;0;0.25262;BRL;1;T163;10;14
800001\300;800001;43375;2;10;2018;4;10/01/2018;10/03/2018;10/03/2018;10/02/2018;10/02/2018;CA;100;Paints & Coatings;200;Trnsprt Ctgs;38249989;1000;3262022;FIRST DI;N35;STOCK ITEM;720;72.4;52125.25;74.64;53742.4;102.6;73872.72;57.74289;7.14433;64.88722;0;0.24463;BRL;1;T163;10;14
800001\300;800001;43405;1;11;2018;4;11/01/2018;11/05/2018;11/05/2018;11/01/2018;11/01/2018;CA;100;Paints & Coatings;200;Trnsprt Ctgs;38249989;1000;3291087;FIRST DI;N35;STOCK ITEM;720;66.83;48119.64;68.91;49612.56;94.72;68195.95;55.138;6.32589;61.46389;0;0.26121;BRL;1;T163;10;14
800001\300;800001;43434;30;11;2018;4;11/01/2018;11/05/2018;12/03/2018;11/30/2018;11/30/2018;CA;100;Paints & Coatings;200;Trnsprt Ctgs;38249989;1000;3223026;FIRST DI;N35;STOCK ITEM;720;69.33;49919.85;71.48;51468.58;98.26;70747.2;55.138;6.32589;61.46389;0;0.26121;BRL;1;T163;10;14
800001\300;800001;43500;4;2;2019;1;02/01/2019;02/05/2019;02/05/2019;02/04/2019;02/04/2019;CA;100;Paints & Coatings;200;Trnsprt Ctgs;38249989;1000;3300185;FIRST DI;N35;STOCK ITEM;720;65.96;47494.57;68.01;48968.07;93.49;67310.06;55.18711;4.51633;59.70344;0;0.26251;BRL;1;T163;10;14
800001\300;800001;43556;1;4;2019;2;04/01/2019;04/02/2019;04/02/2019;04/01/2019;04/01/2019;CA;100;Paints & Coatings;200;Trnsprt Ctgs;38249989;1000;3360364;GOLD;N35;STOCK ITEM;720;70.05;50435.33;72.22;52000.09;99.27;71477.78;51.99172;4.621;56.61272;0;0.26167;BRL;1;T163;10;14
800001\300;800001;43588;3;5;2019;2;05/01/2019;05/15/2019;05/06/2019;05/03/2019;05/03/2019;CA;100;Paints & Coatings;200;Trnsprt Ctgs;38249989;1000;3381314;FIRST DI;N35;STOCK ITEM;720;71.28;51319.22;73.49;52911.4;101.01;72730.44;52.60822;4.67789;57.28611;0;0.25326;BRL;1;T163;10;14
800001\300;800001;43620;4;6;2019;2;06/01/2019;06/05/2019;06/05/2019;06/04/2019;06/04/2019;CA;100;Paints & Coatings;200;Trnsprt Ctgs;38249989;1000;3420654;FIRST DI;N35;STOCK ITEM;720;70.11;50482.55;72.29;52048.75;99.37;71544.67;55.24217;4.65572;59.89789;0;0.24837;BRL;1;T163;10;14
800001\300;800001;43641;25;6;2019;2;06/01/2019;07/05/2019;06/26/2019;06/25/2019;06/25/2019;CA;100;Paints & Coatings;200;Trnsprt Ctgs;38249989;1000;3420656;FIRST DI;N35;STOCK ITEM;720;68.73;49486.6;70.86;51021.89;97.41;70133.18;55.24217;4.65572;59.89789;0;0.24837;BRL;1;T163;10;14
800001\300;800001;43650;4;7;2019;3;07/01/2019;07/05/2019;07/05/2019;07/04/2019;07/04/2019;CA;100;Paints & Coatings;200;Trnsprt Ctgs;38249989;1000;3400127;FIRST DI;N35;STOCK ITEM;720;69.17;49798.85;71.31;51343.87;98.02;70575.77;55.87372;4.42622;60.29994;0;0.25691;BRL;1;T163;10;14
800001\300;800001;43691;14;8;2019;3;08/01/2019;08/15/2019;08/15/2019;08/14/2019;08/14/2019;CA;100;Paints & Coatings;200;Trnsprt Ctgs;38249989;1000;3449136;FIRST DI;N35;STOCK ITEM;720;75.75;54538.42;78.04;56190.02;107.27;77237.14;51.989;4.27589;56.26489;0;0.26362;BRL;1;T163;10;14
800001\300;800001;43712;4;9;2019;3;09/01/2019;09/05/2019;09/05/2019;09/04/2019;09/04/2019;CA;100;Paints & Coatings;200;Trnsprt Ctgs;38249989;1000;3451440;GOLD;N35;STOCK ITEM;720;79.41;57173.79;81.81;58905.19;112.46;80969.33;53.33661;4.61328;57.94989;0;0.24759;BRL;1;T163;10;14
800001\300;800001;43741;3;10;2019;4;10/01/2019;10/04/2019;10/04/2019;10/03/2019;10/03/2019;CA;100;Paints & Coatings;200;Trnsprt Ctgs;38249989;1000;3479145;GOLD;N35;STOCK ITEM;1080;79.2;85532.7;81.6;88122.86;112.16;121131.07;59.28039;4.72656;64.00694;0;0.24025;BRL;1;T163;10;14
