Material;Material Group;Billing doc. date;Billing doc. Month/Year;Requested Del  date;Planned delivery dt;Planned GI date;Actual PGI Date;Business Group;Business Group1;Market Segment;Market Segment1;End Use;End Use1;Commodity Code;Region;Region1;Sales document;Sales doc. type;Plant;Order Priority;Payment Terms;Stocking Strategy;Actual Billed Qty /KG;Bulk Ex Work Price /KG;Bulk Ex Works Value BRL;Net value Price BRL /KG;Net value BRL;Invoice Price BRL /KG;Mtl. Inv. Value BRL;Material Cost per KG;L&O Cost per kg;Total Cost  per kg; Process L&O per Kg;Exchange Rate to USD;Currency;Costing Lot Size;Special Procurement Plant;Overhead Group;IPI %;II %
LZ1\300;LZ1;08/01/2018;08/01/2018;07/24/2018;08/02/2018;08/01/2018;08/01/2018;CA;Performance Coatings;C5;Paints & Coatings;K2;Trnsprt Ctgs;3824.99.89;BR/SP;São Paulo;3229857;ZOR;P105;FIRST DI;N35;STOCK ITEM;720,0;67,50;48600,26;69,59;50108,07;95,66;68877,07;50,36106;6,37411;56,73517;0;0,26905;BRL;1;T163;;10;14
LZ1\300;LZ1;08/02/2018;08/01/2018;08/05/2018;08/05/2018;08/02/2018;08/02/2018;CA;Performance Coatings;C5;Paints & Coatings;K2;Trnsprt Ctgs;3824.99.89;BR/SP;São Paulo;3223023;ZOR;P105;FIRST DI;N35;STOCK ITEM;540,0;67,40;36394,18;69,49;37523,30;95,52;51578,42;50,36106;6,37411;56,73517;0;0,26905;BRL;1;T163;;10;14
LZ1\300;LZ1;08/31/2018;08/01/2018;09/03/2018;09/03/2018;08/31/2018;08/31/2018;CA;Performance Coatings;C5;Paints & Coatings;K2;Trnsprt Ctgs;3824.99.89;BR/SP;São Paulo;3236109;ZOR;P105;FIRST DI;N35;STOCK ITEM;360,0;75,16;27058,62;77,49;27898,11;106,52;38347,92;50,36106;6,37411;56,73517;0;0,26905;BRL;1;T163;;10;14
LZ1\300;LZ1;09/06/2018;09/01/2018;09/05/2018;09/10/2018;09/06/2018;09/06/2018;CA;Performance Coatings;C5;Paints & Coatings;K2;Trnsprt Ctgs;3824.99.89;BR/SP;São Paulo;3258645;ZOR;P105;FIRST DI;N35;STOCK ITEM;360,0;74,80;26928,02;77,12;27763,46;106,01;38162,84;51,15639;7,00744;58,16383;0;0,25262;BRL;1;T163;;10;14
LZ1\300;LZ1;10/02/2018;10/01/2018;10/03/2018;10/03/2018;10/02/2018;10/02/2018;CA;Performance Coatings;C5;Paints & Coatings;K2;Trnsprt Ctgs;3824.99.89;BR/SP;São Paulo;3262022;ZOR;P105;FIRST DI;N35;STOCK ITEM;720,0;72,40;52125,25;74,64;53742,40;102,60;73872,72;57,74289;7,14433;64,88722;0;0,24463;BRL;1;T163;;10;14
LZ1\300;LZ1;11/01/2018;11/01/2018;11/05/2018;11/05/2018;11/01/2018;11/01/2018;CA;Performance Coatings;C5;Paints & Coatings;K2;Trnsprt Ctgs;3824.99.89;BR/SP;São Paulo;3291087;ZOR;P105;FIRST DI;N35;STOCK ITEM;720,0;66,83;48119,64;68,91;49612,56;94,72;68195,95;55,138;6,32589;61,46389;0;0,26121;BRL;1;T163;;10;14
LZ1\300;LZ1;11/30/2018;11/01/2018;11/05/2018;12/03/2018;11/30/2018;11/30/2018;CA;Performance Coatings;C5;Paints & Coatings;K2;Trnsprt Ctgs;3824.99.89;BR/SP;São Paulo;3223026;ZOR;P105;FIRST DI;N35;STOCK ITEM;720,0;69,33;49919,85;71,48;51468,58;98,26;70747,20;55,138;6,32589;61,46389;0;0,26121;BRL;1;T163;;10;14
LZ1\300;LZ1;02/04/2019;02/01/2019;02/05/2019;02/05/2019;02/04/2019;02/04/2019;CA;Performance Coatings;C5;Paints & Coatings;K2;Trnsprt Ctgs;3824.99.89;BR/SP;São Paulo;3300185;ZOR;P105;FIRST DI;N35;STOCK ITEM;720,0;65,96;47494,57;68,01;48968,07;93,49;67310,06;55,18711;4,51633;59,70344;0;0,26251;BRL;1;T163;;10;14
LZ1\300;LZ1;04/01/2019;04/01/2019;04/02/2019;04/02/2019;04/01/2019;04/01/2019;CA;Performance Coatings;C5;Paints & Coatings;K2;Trnsprt Ctgs;3824.99.89;BR/SP;São Paulo;3360364;ZOR;P105;GOLD;N35;STOCK ITEM;720,0;70,05;50435,33;72,22;52000,09;99,27;71477,78;51,99172;4,621;56,61272;0;0,26167;BRL;1;T163;;10;14
LZ1\300;LZ1;05/03/2019;05/01/2019;05/15/2019;05/06/2019;05/03/2019;05/03/2019;CA;Performance Coatings;C5;Paints & Coatings;K2;Trnsprt Ctgs;3824.99.89;BR/SP;São Paulo;3381314;ZOR;P105;FIRST DI;N35;STOCK ITEM;720,0;71,28;51319,22;73,49;52911,40;101,01;72730,44;52,60822;4,67789;57,28611;0;0,25326;BRL;1;T163;;10;14
